Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2015-06-23,52.705631,52.7351328794,52.5188028076,5934200,52.705631
2015-06-24,52.7056309115,52.7892155546,52.1353107367,5056200,52.223809
2015-06-25,52.5138851848,52.5138851848,51.4617391647,10811400,51.732152
2015-06-26,53.2808725619,54.2494334466,53.2808725619,20287600,53.939691
2015-06-29,53.723360735,53.8315257703,52.9317963798,9005000,52.93671
2015-06-30,53.5168658196,53.5316150386,53.0006284052,7531200,53.10879
2015-07-01,53.5660311541,53.802028,53.3890341343,5924000,53.802028
2015-07-02,54.0380247724,54.4411830351,53.6348620847,5900000,54.018358
2015-07-06,53.6348622358,54.3330181527,53.5955326242,4991400,54.003605
2015-07-07,54.1216055001,54.7361767724,53.6201133754,7207000,54.71651
2015-07-08,54.1904371348,54.4510148632,53.5906150798,6733600,53.723361
2015-07-09,54.2002686475,54.5345954196,53.6840307456,6165600,53.806945
2015-07-10,54.3428495535,54.4755989146,53.5906148097,5159200,54.337932
2015-07-13,54.6919253427,55.3359984904,54.4755987145,5047600,55.267167
2015-07-14,55.4785765115,55.5867420399,55.0262530336,5561400,55.232748
2015-07-15,55.0655857182,55.2573314625,54.9131730268,5016400,55.016421
2015-07-16,55.4392468996,55.5080788828,54.991837042,4334600,55.232748
2015-07-17,55.2475004827,55.5474112631,55.016421193,4545400,55.458913
2015-07-20,55.6899889826,55.8276558976,55.4687447993,5978200,55.621157
2015-07-21,55.5474108881,55.8374870513,55.4195790813,4626400,55.552325
2015-07-22,55.493328882,56.1570648704,55.493328882,5954200,56.093147
2015-07-23,56.2947285088,56.3930584373,55.9554841834,6714200,56.0489
2015-07-24,56.1373978297,56.1373978297,55.2966648278,5967200,55.552325
2015-07-27,55.2622497098,55.5179093921,54.5493445767,6648000,54.93284
2015-07-28,55.1000026748,56.0046535655,54.9918371462,6948200,55.788323
2015-07-29,55.842405557,56.707718966,55.8030720119,6839800,56.501224
2015-07-30,56.5159731204,56.7372212383,56.0194019872,5594000,56.545475
2015-07-31,56.7863854731,57.002715544,56.456976255,5078600,56.648722
